               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.156,             0.10648,            0.064281,           0.0063753,            0.024157,           0.0032615,          0.00076381,             0.13945,              0.1514,            0.057059,              0.0721,              0.0031,              0.0031
                   1,             0.13844,             0.12632,            0.049957,            0.013095,            0.053875,            0.010928,            0.002797,             0.12867,              0.2154,            0.049452,            0.043175,           0.0061753,           0.0061753
                   2,              0.1292,             0.16551,            0.043001,             0.65515,            0.047815,            0.027448,            0.007801,             0.12143,             0.38301,            0.045222,            0.014124,           0.0091238,           0.0091238
                   3,             0.12453,             0.18342,            0.040853,             0.44545,            0.095802,            0.047846,            0.015388,             0.11758,             0.31738,             0.04401,            0.009406,            0.009406,            0.009406
                   4,             0.12279,              0.1854,            0.039615,             0.25578,             0.14625,            0.065526,            0.022891,             0.11525,             0.26673,            0.042076,            0.009406,            0.009406,            0.009406
                   5,             0.12175,             0.18976,            0.038731,             0.16202,             0.16666,            0.075086,            0.026584,             0.11257,             0.22324,            0.041759,            0.009208,            0.009208,            0.009208
                   6,             0.12102,             0.19021,             0.03716,             0.27054,             0.16149,            0.085892,            0.032727,             0.11029,             0.22951,            0.040968,             0.00901,             0.00901,             0.00901
                   7,             0.11889,             0.19023,            0.036716,             0.27679,             0.15703,            0.088428,            0.036836,             0.10911,             0.21811,            0.040586,            0.008812,            0.008812,            0.008812
                   8,             0.11737,             0.18604,            0.036838,             0.28879,               0.168,              0.1023,            0.041601,             0.10638,             0.22636,            0.040287,            0.008614,            0.008614,            0.008614
                   9,              0.1169,             0.18782,            0.035853,             0.41838,             0.14449,             0.10653,            0.043271,             0.10638,             0.22373,            0.040434,            0.008416,            0.008416,            0.008416
                  10,             0.11699,             0.18942,            0.035962,             0.41586,             0.15172,             0.10997,            0.045563,             0.10645,             0.21977,            0.039573,            0.008218,            0.008218,            0.008218
