epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1731,2.40173,3.89731,1.10344,0.55022,0.07687,0.04828,0.02483,2.09723,3.42288,1.00913,0.000234222,0.000234222,0.000234222
2,56.9248,2.38801,2.5368,1.04493,0.5278,0.10996,0.07613,0.03635,1.96721,2.31461,1.01576,0.000462872,0.000462872,0.000462872
3,85.0358,2.28807,2.18192,1.03144,0.36132,0.12456,0.09775,0.04687,1.91547,2.00852,1.01312,0.000682097,0.000682097,0.000682097
4,113.491,2.24976,2.02258,1.02373,0.34221,0.1481,0.10493,0.05274,1.93808,1.88552,1.02397,0.000671588,0.000671588,0.000671588
5,141.621,2.25352,1.90623,1.03179,0.27125,0.14523,0.11631,0.05977,1.89488,1.83346,1.01247,0.000657451,0.000657451,0.000657451
6,169.42,2.2259,1.8846,1.019,0.16971,0.14773,0.11425,0.06042,1.85854,1.73607,0.98712,0.000643314,0.000643314,0.000643314
7,197.583,2.15116,1.76916,1.00734,0.26722,0.14204,0.11873,0.06139,1.86055,1.6479,0.98169,0.000629177,0.000629177,0.000629177
8,225.194,2.13815,1.72864,1.00563,0.17153,0.16469,0.12505,0.06208,1.88047,1.73017,0.99989,0.00061504,0.00061504,0.00061504
9,252.804,2.14912,1.68232,0.99219,0.2686,0.15723,0.12799,0.06798,1.82597,1.65191,0.9721,0.000600902,0.000600902,0.000600902
10,280.542,2.17077,1.69553,0.99195,0.21004,0.18021,0.14356,0.07545,1.77243,1.57771,0.97537,0.000586765,0.000586765,0.000586765
11,308.078,2.10285,1.62123,0.98446,0.21402,0.17871,0.14548,0.07438,1.78913,1.55608,0.98182,0.000572628,0.000572628,0.000572628
12,335.565,2.1011,1.60305,0.98615,0.21083,0.18319,0.14899,0.07827,1.77762,1.57176,0.97025,0.000558491,0.000558491,0.000558491
13,363.094,2.08279,1.57462,0.97815,0.25719,0.19535,0.15809,0.08288,1.73998,1.50524,0.97181,0.000544354,0.000544354,0.000544354
14,391.011,2.06016,1.56922,0.99447,0.20195,0.20245,0.15868,0.08327,1.73982,1.53301,0.96789,0.000530216,0.000530216,0.000530216
15,418.704,2.05939,1.53186,0.98689,0.21217,0.20111,0.16234,0.08499,1.75652,1.50003,0.96138,0.000516079,0.000516079,0.000516079
16,446.552,2.05345,1.52755,0.97625,0.23131,0.20756,0.16516,0.08803,1.76334,1.48877,0.96933,0.000501942,0.000501942,0.000501942
17,473.998,2.03729,1.5116,0.97696,0.24386,0.21125,0.17108,0.09148,1.71952,1.47615,0.96148,0.000487805,0.000487805,0.000487805
18,501.638,2.01042,1.49766,0.97303,0.22313,0.20307,0.16442,0.0872,1.73183,1.47275,0.96008,0.000473668,0.000473668,0.000473668
19,529.206,2.00339,1.48509,0.96737,0.25666,0.20796,0.17606,0.09439,1.73297,1.47534,0.95584,0.00045953,0.00045953,0.00045953
20,557.179,2.01431,1.44945,0.96511,0.23803,0.21612,0.17917,0.09391,1.72427,1.45558,0.96328,0.000445393,0.000445393,0.000445393
21,584.51,2.01937,1.45521,0.96666,0.25827,0.22198,0.18103,0.09518,1.73411,1.44241,0.96756,0.000431256,0.000431256,0.000431256
22,612.008,2.00385,1.4274,0.96592,0.25766,0.22746,0.18481,0.09704,1.73309,1.43128,0.95997,0.000417119,0.000417119,0.000417119
23,639.395,2.01676,1.4358,0.96808,0.26031,0.22091,0.18636,0.098,1.71904,1.44069,0.95707,0.000402982,0.000402982,0.000402982
24,667.111,2.0089,1.44822,0.95704,0.26886,0.22672,0.18974,0.10135,1.70642,1.42777,0.95584,0.000388844,0.000388844,0.000388844
25,695.097,2.01157,1.42536,0.95226,0.26602,0.2221,0.18663,0.10013,1.73547,1.4229,0.96079,0.000374707,0.000374707,0.000374707
26,723.428,1.9682,1.40366,0.95905,0.27213,0.21231,0.1836,0.09506,1.71853,1.44384,0.96171,0.00036057,0.00036057,0.00036057
27,751.351,1.97843,1.40887,0.95751,0.28349,0.21672,0.18991,0.10139,1.7183,1.41523,0.96505,0.000346433,0.000346433,0.000346433
28,779.006,1.97336,1.3966,0.96273,0.2728,0.22739,0.18868,0.1002,1.72781,1.41629,0.95656,0.000332296,0.000332296,0.000332296
29,806.869,1.94059,1.37079,0.95299,0.28015,0.22964,0.19339,0.10255,1.6987,1.39697,0.95925,0.000318158,0.000318158,0.000318158
